week,roster_id,matchup_id,points,players,starters
7,2,5,101.08,10222|11603|11604|11631|12508|12530|2216|4866|6770|7543|8121|8123|8126|8136|8188|96|NE,96|4866|7543|11631|2216|11603|8136|12508|NE
7,3,6,118.6,12506|12524|3163|4033|421|4983|4988|6804|7021|7049|7547|7588|7594|8205|9756|CLE,6804|7021|7588|7547|4983|12506|4988|3163|CLE
7,4,4,78.28,10229|11560|11647|12495|12499|12526|3198|4144|4984|5844|7090|7528|8117|8132|9500|SF,11560|11647|8132|7090|12499|5844|12526|10229|SF
7,5,2,110.62,11628|19|2133|3214|4034|5859|5927|7526|7527|7553|7591|8150|9226|9482|9758|SEA,7591|4034|8150|2133|7526|9482|9226|7527|SEA
7,6,3,150.04,11564|11584|11610|11638|12455|12474|12517|12519|12533|1373|2449|3294|4454|7564|8110|9509|PIT,3294|9509|12533|4454|2449|8110|7564|11564|PIT
7,7,1,113.96,10213|11620|12522|12527|2505|3161|4018|4039|4199|4892|5947|6801|7523|8130|8408|9753|PHI,4892|8408|12527|6801|11620|8130|2505|7523|PHI
7,8,2,154.46,11637|1234|12512|4046|5001|5012|5870|6786|8151|8155|9493|9494|9754|9997|CHI,4046|8155|12512|6786|9754|5001|8151|5870|CHI
7,9,3,159.4,10859|11563|11566|11589|11624|1339|1479|4035|5045|5892|7607|8144|8676|9757|BUF|KC,11566|4035|5892|5045|1479|10859|8144|11563|KC
7,10,5,127.12,11562|12469|1466|4981|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|9508|GB,6797|9508|7611|5846|9488|1466|8112|11562|GB
7,11,6,115.42,10236|11635|12484|12486|12489|12490|12501|12518|4943|6768|6783|6794|8138|9221|DET,6768|9221|12489|6794|11635|12518|6783|4943|DET
7,12,4,150.06,12514|4098|5849|6790|6803|6813|6904|7569|8137|8148|8210|8228|9228|9484|DEN,6904|6813|6790|8137|7569|9484|8228|9228|DEN
8,1,1,150.74,11559|11565|12481|12507|12534|4037|4217|4881|5848|5872|6806|6819|7083|7525|9224|LAR|TB,7083|12481|9224|6819|7525|4217|5872|6806|TB
8,2,5,123.18,10222|11604|11631|12485|12508|12530|2216|4866|6770|7543|8111|8121|8126|8136|8188|96|NE,12508|4866|8136|8126|8121|8111|12485|96|NE
8,3,1,121.6,12506|3163|4033|421|4983|4988|6804|7021|7049|7547|7588|7594|8205|9756|CLE,6804|7021|7588|7049|4983|12506|4988|9756|CLE
8,4,5,133.02,10229|11560|11647|12495|12499|12526|3198|4144|4984|5844|7090|7528|8117|8132|9500|SF,4984|11647|3198|10229|12499|5844|12526|11560|SF
8,5,2,163.18,11627|11628|19|2133|3214|4034|5859|5927|7526|7527|7553|7591|8150|827|9226|9758|KC,7591|4034|9226|11627|7526|7553|5927|19|KC
8,6,3,95.8,11564|11584|11610|11638|12455|12474|12517|12519|12533|1373|2449|3294|4454|7564|8110|9509|HOU,3294|9509|12533|7564|2449|8110|12474|11564|HOU
8,7,4,74.14,10213|11620|12493|12527|3161|4018|4039|4199|4892|5947|5995|6801|7523|8130|8408|9753|PHI,4892|8408|5995|6801|11620|12493|4199|3161|PHI
8,8,3,122.8,11637|1234|12512|4046|5001|5012|5870|6786|8151|8155|9493|9494|9754|9997|CHI,4046|8155|12512|6786|9997|5012|9754|5870|CHI
8,9,6,105.8,10859|11563|11566|11589|11624|1339|1479|2307|4035|5045|5892|7567|8122|8144|829|8676|BUF,2307|4035|7567|5045|1479|1339|8144|11563|BUF
8,10,2,130.32,11562|12529|1466|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|9508|GB|IND,6797|5850|7611|5846|8134|5022|1466|11562|IND
8,11,6,135.94,10236|11635|12486|12489|12490|12501|12518|4943|6768|6783|6794|8138|9221|CIN|DET,6768|12489|8138|6794|11635|12518|6783|12486|CIN
8,12,4,155.88,1166|12514|4098|5849|6790|6803|6813|6904|7569|8137|8148|8228|9228|9484|DEN,6904|6813|8228|12514|8137|9484|6790|1166|DEN
9,1,1,118.38,11559|11565|12481|12507|12534|4037|4217|4881|5848|5872|6806|6819|7083|7525|9224|9504|LAR,4881|6806|9224|6819|9504|4217|5872|11565|LAR
9,2,5,142.86,10222|11604|11631|12485|12508|12530|2216|4866|5995|6770|7543|8121|8126|8136|8188|96|NE,12508|7543|5995|11631|8126|11604|8121|96|NE
9,3,2,134.44,12506|3163|4033|421|4983|4988|6804|7002|7021|7049|7547|7588|7594|9756|CLE,6804|7021|7588|7547|4983|7002|9756|421|CLE
9,4,6,129.52,10229|11560|11647|12495|12499|12526|3198|4144|4984|5844|7090|7528|8117|8132|9500|SF,4984|11647|3198|10229|12499|5844|12526|11560|SF
9,5,2,167.8,11627|11628|19|2133|3214|4034|5859|5927|7526|7527|7553|7591|8150|827|9226|9758|LAC,19|4034|9226|2133|7526|7553|8150|7527|LAC
9,6,3,104.06,11564|11584|11610|11638|12455|12474|12517|12519|12533|1373|2449|3294|4454|7564|8110|9509|HOU,3294|9509|12474|7564|2449|8110|12533|11564|HOU
9,7,3,122.34,11620|12493|12527|12545|4018|4039|4199|4892|5947|6130|6801|7523|8130|8205|8408|9753|JAX,7523|9753|12527|6801|11620|8130|12493|12545|JAX
9,8,4,120.48,11637|1234|12512|4046|4147|5012|5870|6786|8151|8155|9493|9494|9754|9997|BAL,4046|8151|4147|6786|9997|5012|9493|5870|BAL
9,9,5,99.96,10859|11563|11566|11589|11624|11655|1339|1479|3257|4035|5045|5892|8122|8144|8676|BUF,11566|4035|11655|5045|1479|10859|8144|3257|BUF
9,10,1,150.7,12522|12529|1466|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|9508|GB|SEA,6797|5850|12529|5846|9488|1466|8112|8134|GB
9,11,6,120.04,10236|11635|12486|12489|12490|12501|12518|4943|6768|6783|6794|8138|9221|CIN|DET,6768|9221|8138|6794|11635|12518|10236|4943|DET
9,12,4,82.58,1166|12514|4098|5849|6790|6803|6813|6904|7569|8137|8148|8228|9228|9484|DEN,5849|6813|8228|7569|8137|9484|8148|9228|DEN
10,1,1,115.66,11559|11565|12481|12507|12534|4037|4217|4881|5848|5872|6806|6819|7525|9224|9504|LAR,4881|6806|12534|6819|7525|4217|5872|11565|LAR
10,2,3,93.32,10222|11604|11631|12485|12508|12530|2216|4866|5995|6770|7543|8121|8126|8136|8188|96|NE,12508|4866|7543|8121|8126|11604|8136|96|NE
10,3,5,92.54,12506|3163|4033|421|4983|4988|6804|7002|7021|7049|7547|7588|7594|9756|CLE,6804|7021|4988|7547|4983|4033|9756|3163|CLE
10,4,1,89.44,10229|11560|11647|12495|12499|12526|3198|4144|4984|5844|7090|7528|8117|8132|9500|SF,4984|11647|3198|9500|7090|5844|12526|11560|SF
10,5,2,140.66,11627|11628|19|2133|3214|4034|5859|5927|7526|7527|7553|7591|8150|827|9226|9758|CAR,7591|4034|9226|2133|7526|7553|8150|5859|CAR
10,6,3,117.42,11564|11584|11610|11638|12474|12517|12519|12533|1373|2449|3294|7564|8110|8142|8167|9509|HOU,1373|9509|12474|8142|2449|12517|8167|11564|HOU
10,7,6,134.04,11620|12493|12527|12545|4018|4039|4199|4892|5947|6130|6801|7523|8130|8205|8408|9753|JAX,4892|9753|12527|5947|11620|8130|12493|7523|JAX
10,8,5,111.6,11637|1234|12512|4046|5012|5870|6786|8151|8155|9493|9494|9754|9997|CHI,5870|8151|8155|9754|9997|5012|9493|12512|CHI
10,9,2,89.42,10859|11199|11563|11566|11589|11624|11655|1339|1479|3257|4035|5045|5892|8122|8144|8676|BUF,11563|5892|11655|5045|1479|10859|8144|3257|BUF
10,10,6,151.2,12522|12529|1466|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|9508|SEA,6797|5850|12529|8112|9488|5022|8146|8134|SEA
10,11,4,121.64,10236|11635|12486|12489|12490|12501|12518|4943|6768|6783|6794|8138|9221|CIN|DET,6768|9221|8138|6794|11635|12518|10236|4943|DET
10,12,4,190.94,11597|12514|2307|4098|5849|6790|6803|6813|6904|7569|8137|8148|8228|9228|9484|DEN,6904|6813|8228|7569|12514|11597|8148|2307|DEN
11,1,1,108.72,10219|11559|11565|12481|12507|12534|4037|4177|4217|4881|5848|5872|6806|6819|7525|9224|LAR,4881|9224|12534|4177|7525|4217|5872|11565|LAR
11,2,4,95.08,10213|10222|11604|11631|12485|12508|2216|2306|4866|5995|6770|7543|8121|8126|8136|96|NE,2306|4866|7543|8121|8126|11604|8136|96|NE
11,3,6,99.36,12506|3163|4033|421|4983|4988|6804|7002|7021|7049|7547|7588|7594|9756|CLE,6804|7021|7588|7547|9756|4033|7049|3163|CLE
11,4,2,141.5,10229|11560|11647|12495|12499|12526|3198|4144|4984|5844|7090|7528|8117|8132|9500|SF,4984|11647|3198|10229|7090|5844|12526|11560|SF
11,5,2,119.42,11627|11628|19|2133|4034|5859|5927|7526|7527|7553|7585|7591|8111|8150|827|9226|9758|GB,19|4034|9226|2133|7526|7553|5859|7585|GB
11,6,3,124.26,11564|11584|11638|12474|12517|12519|12533|1373|2449|3294|7564|8110|8142|8167|9509|HOU,11564|9509|12474|7564|2449|8110|11638|3294|HOU
11,7,6,113.34,11620|12493|12527|12545|4018|4039|4199|4892|5947|6130|6801|7523|8130|8205|8408|9753|ATL,4892|4199|12527|6801|11620|8130|12493|7523|ATL
11,8,5,129.64,11637|1234|12512|4046|5012|5870|6786|8151|8155|9487|9493|9494|9754|9997|PIT,4046|8151|8155|9493|9997|5012|6786|12512|PIT
11,9,1,96.98,10859|11199|11563|11566|11589|11624|11655|1339|1479|3257|4035|5045|5892|8122|8144|8676|BUF,11563|5892|11655|5045|1479|1339|11624|3257|BUF
11,10,5,143.44,12522|12529|1466|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|9508|BAL|SEA,6797|5850|12529|8112|9488|1466|5846|8183|BAL
11,11,3,80.5,10236|11635|12486|12489|12490|12501|12518|4943|6768|6783|6794|8138|9221|CIN|DET,6768|9221|8138|6794|11635|10236|12489|4943|DET
11,12,4,125.82,11597|12514|2307|4098|5849|6790|6803|6813|6904|7569|8137|8148|8228|9228|9484|DEN,6904|6790|8228|7569|12514|11597|8137|2307|DEN
12,1,1,95.7,10219|11559|11565|12481|12507|12534|4037|4177|4217|4881|5848|5872|6819|7525|9224|9506|LAR,4881|9224|9506|4177|7525|4217|6819|11565|LAR
12,2,3,136.38,10213|10222|11604|11631|12485|12508|2216|2306|4866|4972|6770|7543|8121|8126|8136|96|NE,2306|4866|7543|8121|8126|11604|8136|4972|NE
12,3,5,126.52,12506|12524|3163|4033|421|4983|6804|7002|7021|7049|7547|7588|7594|9756|CLE,3163|7021|7588|7547|9756|7002|7049|12524|CLE
12,4,6,128.38,10229|11560|11647|12495|12499|12526|3198|4144|4984|5844|7090|7528|8117|8132|9500|SF,4984|8132|3198|10229|7090|5844|12526|11560|SF
12,5,1,127.6,11627|11628|1166|19|2133|4034|5859|5927|7526|7553|8111|8150|827|9226|9504|9758|GB,19|4034|8150|2133|5859|7553|9504|827|GB
12,6,2,102.12,11564|11584|11638|12474|12517|12519|12533|1373|2449|3294|7564|8110|8142|8167|9509|HOU,11564|9509|12474|8142|2449|8110|11638|3294|HOU
12,7,4,120.48,11620|12493|12527|12545|4018|4039|4199|4892|5947|6130|6801|7523|8130|8205|8408|9753|ATL,4892|4199|12527|6801|11620|8130|5947|7523|ATL
12,8,4,116.12,11637|1234|12512|4046|5012|5870|6786|8151|8155|9487|9493|9494|9754|9997|BAL|MIA,4046|8151|8155|9493|6786|5012|9997|5870|BAL
12,9,6,127.78,10859|11435|11563|11566|11589|11624|11655|1339|1479|3214|3257|4035|5045|5892|8144|8676|BUF,3257|11435|11655|8144|11624|3214|4035|5892|BUF
12,10,5,130.62,10232|12522|12529|1466|5022|5846|5850|5967|6797|7611|8112|8134|8146|8183|9488|9508|SEA,8183|9508|12529|10232|9488|1466|8134|5846|SEA
12,11,3,132.46,10226|10236|11635|12486|12489|12490|12518|4943|6768|6783|6794|8138|9221|CIN|DET,4943|9221|8138|6783|6794|12518|12490|10226|DET
12,12,2,114.62,11597|12514|2307|4098|5849|6790|6803|6813|6904|7569|8137|8148|8228|9228|9484|CHI|DEN,6904|6790|6813|7569|12514|11597|8137|9228|CHI
13,1,1,57.24,10219|11565|12481|12507|12534|4037|4177|4217|4881|5848|5872|5970|6819|7525|9224|9506|LAR,4881|9224|9506|4177|5872|4217|6819|11565|LAR
13,2,3,104.2,10213|10222|11604|11631|12485|12508|2216|2306|4866|6770|7543|8121|8126|8136|8147|96|NE,6770|4866|7543|10213|8126|11604|8121|12508|NE
13,3,5,90.5,12506|12524|3163|4033|421|4983|6804|7002|7021|7049|7547|7588|7594|9756|CLE,3163|7021|7588|7547|9756|7002|7049|12524|CLE
13,4,5,127.18,10229|11560|11647|12495|12499|12526|3198|4144|4984|5844|7090|7528|8117|8132|9500|SF,4984|8132|3198|10229|7090|5844|12526|11560|SF
13,5,2,155.24,11627|11628|1166|19|2133|4034|5859|5927|7526|7553|8150|827|9226|9480|9758|JAX,9758|4034|9226|2133|5859|7553|8150|7526|JAX
13,6,1,132.58,11564|11584|11638|12474|12517|12519|12533|2449|3294|7564|8110|8142|8167|9509|HOU,11564|9509|12474|7564|2449|8110|8167|3294|HOU
13,7,4,104.72,11620|12493|12527|12545|4018|4039|4199|4892|5947|6130|6801|7523|8130|8205|8408|9753|ATL,4892|4199|12527|5947|11620|8130|12493|7523|ATL
13,8,3,133.78,11637|1234|12512|4046|5012|5870|6786|8151|8155|9487|9493|9494|9754|9997|MIA,4046|12512|8155|9493|6786|5012|9997|5870|MIA
13,9,6,102.14,10859|11435|11563|11566|11589|11624|11655|1339|1479|3214|3257|4035|5045|5892|8144|8676|BUF,11563|11435|11655|8144|5045|3214|1479|5892|BUF
13,10,6,101.78,10232|12522|12529|1466|5022|5846|5850|5967|6797|7567|8112|8134|8146|8183|9488|9508|SEA,6797|5850|12529|10232|9488|1466|8134|12522|SEA
13,11,4,87.8,10226|10236|11635|12486|12489|12490|12518|4943|6768|6783|6794|8138|9221|CIN|DET,4943|9221|8138|11635|6794|12518|12489|6768|DET
13,12,2,125.74,11597|12514|2307|4098|5849|6790|6803|6813|6904|7569|8137|8148|8228|9228|9484|CHI|DEN,6904|8228|6813|7569|12514|11597|8137|9228|DEN
14,1,1,112.18,10219|11565|12481|12507|12534|4037|4217|4881|5001|5848|5872|5970|6819|7525|9224|LAR,4881|9224|12534|6819|5872|5001|7525|11565|LAR
14,2,3,131.92,10213|10222|11604|11631|12508|2216|4866|6770|7543|8121|8126|8136|8147|96|NE|PHI,6770|4866|7543|11631|8147|11604|8121|96|PHI
14,3,5,100.52,12506|12524|3163|4033|421|4983|6804|7002|7021|7049|7547|7588|7594|9756|CLE,3163|7021|7588|7547|9756|7002|7049|12524|CLE
14,4,6,100.88,10229|11560|11647|12495|12499|12526|3198|4144|4984|5844|7090|7528|8132|9500|BAL|SF,4984|11647|3198|10229|7090|5844|9500|11560|BAL
14,5,2,108.06,11586|11628|1166|2133|4034|5859|5927|7526|7553|7611|8150|827|9226|9480|9758|TB,827|9226|8150|2133|5859|7553|7526|9758|TB
