draft_id,round,pick_no,roster_id,picked_by,player_id,player_name,position,team
1256688515979157504,11,131,1,466683853101068288,PIT,Pittsburgh Steelers,DEF,PIT
1256688515979157504,11,132,2,849415090615717888,10222,Jayden Reed,WR,GB
1256688515979157504,12,133,6,860946563801911296,8110,Jake Ferguson,TE,DAL
1256688515979157504,12,134,4,853800615531347968,7528,Najee Harris,RB,LAC
1256688515979157504,12,135,5,739726290625695744,7553,Kyle Pitts,TE,ATL
1256688515979157504,12,136,4,853800615531347968,4663,Austin Ekeler,RB,WAS
1256688515979157504,12,137,12,1128909535848099840,11637,Keon Coleman,WR,BUF
1256688515979157504,12,138,10,865692370853851136,12469,Dylan Sampson,RB,CLE
1256688515979157504,12,139,4,853800615531347968,9500,Josh Downs,WR,IND
1256688515979157504,12,140,12,1128909535848099840,9484,Tucker Kraft,TE,GB
1256688515979157504,12,141,1,466683853101068288,2309,Amari Cooper,WR,
1256688515979157504,12,142,2,849415090615717888,96,Aaron Rodgers,QB,PIT
1256688515979157504,12,143,6,860946563801911296,12519,Luther Burden,WR,CHI
1256688515979157504,12,144,4,853800615531347968,4144,Jonnu Smith,TE,PIT
1256688515979157504,13,145,5,739726290625695744,12457,Jaydon Blue,RB,DAL
1256688515979157504,13,146,10,865692370853851136,7611,Rhamondre Stevenson,RB,NE
1256688515979157504,13,147,8,987443942218153984,1234,Russell Wilson,QB,NYG
1256688515979157504,13,148,9,865670496178540544,1339,Zach Ertz,TE,WAS
1256688515979157504,13,149,11,1134531051994378240,10236,Dalton Kincaid,TE,BUF
1256688515979157504,13,150,12,1128909535848099840,DEN,Denver Broncos,DEF,DEN
1256688515979157504,13,151,2,849415090615717888,12508,Jaxson Dart,QB,NYG
1256688515979157504,13,152,6,860946563801911296,11576,Braelon Allen,RB,NYJ
1256688515979157504,13,153,4,853800615531347968,7090,Darnell Mooney,WR,ATL
1256688515979157504,13,154,5,739726290625695744,9229,Anthony Richardson,QB,IND
1256688515979157504,13,155,9,865670496178540544,1479,Keenan Allen,WR,LAC
1256688515979157504,13,156,8,987443942218153984,9494,Marvin Mims,WR,DEN
1256688515979157504,14,157,10,865692370853851136,5022,Dallas Goedert,TE,PHI
1256688515979157504,14,158,6,860946563801911296,12533,Jacory Croskey-Merritt,RB,WAS
1256688515979157504,14,159,2,849415090615717888,BAL,Baltimore Ravens,DEF,BAL
1256688515979157504,14,160,6,860946563801911296,HOU,Houston Texans,DEF,HOU
1256688515979157504,14,161,4,853800615531347968,12509,Tre' Harris,WR,LAC
1256688515979157504,14,162,5,739726290625695744,5848,Hollywood Brown,WR,KC
1256688515979157504,14,163,9,865670496178540544,11589,Trey Benson,RB,ARI
1256688515979157504,14,164,8,987443942218153984,5870,Daniel Jones,QB,IND
1256688515979157504,14,165,10,865692370853851136,WAS,Washington Commanders,DEF,WAS
1256688515979157504,14,166,11,1134531051994378240,12483,Jack Bech,WR,LV
1256688515979157504,14,167,2,849415090615717888,8136,Rachaad White,RB,TB
1256688515979157504,14,168,4,853800615531347968,9508,Tyjae Spears,RB,TEN
1256688515979157504,15,169,11,1134531051994378240,12484,Jayden Higgins,WR,HOU
1256688515979157504,15,170,8,987443942218153984,19,Joe Flacco,QB,CLE
1256688515979157504,15,171,10,865692370853851136,MIN,Minnesota Vikings,DEF,MIN
1256688515979157504,15,172,11,1134531051994378240,12490,Bhayshul Tuten,RB,JAX
1256688515979157504,15,173,2,849415090615717888,4993,Mike Gesicki,TE,CIN
1256688515979157504,15,174,4,853800615531347968,SF,San Francisco 49ers,DEF,SF
1256688515979157504,15,175,9,865670496178540544,BUF,Buffalo Bills,DEF,BUF
1256688515979157504,15,176,8,987443942218153984,11626,Xavier Legette,WR,CAR
1256688515979157504,15,177,11,1134531051994378240,DET,Detroit Lions,DEF,DET
1256688515979157504,15,178,9,865670496178540544,8676,Rashid Shaheed,WR,NO
1256688515979157504,15,179,8,987443942218153984,11575,Ray Davis,RB,BUF
1256688515979157504,15,180,8,987443942218153984,LV,Las Vegas Raiders,DEF,LV
