player_id,full_name,first_name,last_name,position,team,status
11574,Dylan Laube,Dylan,Laube,RB,LV,Active
917,Ryan Kerrigan,Ryan,Kerrigan,DE,,Active
6323,Andrew Beck,Andrew,Beck,RB,NYJ,Active
7606,Kadarius Toney,Kadarius,Toney,WR,,Active
1335,Matt Tobin,Matt,Tobin,G,,Inactive
6927,Quez Watkins,Quez,Watkins,WR,PHI,Active
1414,Nick Williams,Nick,Williams,DE,,Active
1178,Sean Richardson,Sean,Richardson,SS,,Inactive
13123,Parker Clements,Parker,Clements,OT,,Active
12730,Micah Robinson,Micah,Robinson,CB,TEN,Active
3898,Bryce Cheek,Bryce,Cheek,CB,,Inactive
1589,Quinton Patton,Quinton,Patton,WR,,Injured Reserve
316,Malcom Floyd,Malcom,Floyd,WR,,Inactive
3615,Sione Houma,Sione,Houma,RB,,Active
2561,Anthony Boone,Anthony,Boone,QB,,Active
3870,Vi Teofilo,Vi,Teofilo,G,,Inactive
226,Antwaan Randle El,Antwaan,Randle El,WR,,Inactive
304,Jake Long,Jake,Long,T,,Inactive
6948,Leki Fotu,Leki,Fotu,DT,NYG,Active
13246,Jaden Smith,Jaden,Smith,WR,DAL,Active
8111,Cade Otton,Cade,Otton,TE,TB,Active
2929,Adrian Coxson,Adrian,Coxson,WR,,Active
1781,Kourtnei Brown,Kourtnei,Brown,LB,,Injured Reserve
974,Ryan Williams,Ryan,Williams,RB,,Inactive
12915,James Carpenter,James,Carpenter,DL,,Active
6742,Marquis Young,Marquis,Young,RB,,Active
13073,Sebastian Valdez,Sebastian,Valdez,DL,SF,Active
3772,Julien Obioha,Julien,Obioha,DE,,Active
3221,Nick Martin,Nick,Martin,C,,Active
8245,Derrick Deese,Derrick,Deese,TE,,Active
4061,Davis Webb,Davis,Webb,QB,,Active
13957,Kenny Fletcher,Kenny,Fletcher,TE,TB,Active
3269,Chris Moore,Chris,Moore,WR,BAL,Active
6970,Stephen Sullivan,Stephen,Sullivan,TE,,Active
1944,Alfred Blue,Alfred,Blue,RB,,Inactive
1351,Duke Williams,Duke,Williams,SS,,Inactive
8092,Corey Taylor,Corey,Taylor,RB,,Active
6259,Darnell Holland,Darnell,Holland,RB,,Active
12374,Brenden Bates,Brenden,Bates,TE,CLE,Active
5645,Nick Gates,Nick,Gates,C,,Active
8468,Max Mitchell,Max,Mitchell,T,NYJ,Active
4970,Quenton Nelson,Quenton,Nelson,OL,IND,Active
2957,Ernst Brun,Ernst,Brun,TE,,Active
13554,CJ Williams,CJ,Williams,WR,JAX,Active
5495,Austin Larkin,Austin,Larkin,DE,,Active
2717,Leon Orr,Leon,Orr,DT,,Inactive
12866,Jalin Conyers,Jalin,Conyers,TE,,Active
37,Charles Johnson,Charles,Johnson,DE,,Inactive
2789,Lucky Whitehead,Lucky,Whitehead,WR,,Injured Reserve
4756,John Dorsey,John,Dorsey,,,Inactive
8930,Corey Dublin,Corey,Dublin,OL,,Inactive
6522,T.J. Linta,T.J.,Linta,QB,,Active
6437,John Leglue,John,Leglue,OT,,Active
1911,Willie Snead,Willie,Snead,WR,,Inactive
1034,Brandon Bolden,Brandon,Bolden,RB,,Active
3673,Nick Rose,Nick,Rose,K,,Inactive
4798,C.J. Germany,C.J.,Germany,WR,,Active
7030,Casey Toohill,Casey,Toohill,DE,,Active
13270,CJ Daniels,CJ,Daniels,WR,LAR,Active
8566,T.D. Moultry,T.D.,Moultry,LB,,Active
7326,Breiden Fehoko,Breiden,Fehoko,NT,,Active
2503,A.J. Derby,A.J.,Derby,TE,,Inactive
11843,Michael Barrett,Michael,Barrett,LB,,Active
2718,Tevin McDonald,Tevin,McDonald,FS,,Inactive
11489,Kahlef Hailassie,Kahlef,Hailassie,CB,MIN,Active
